	Heere bigynneth the Knyghtes Tale.	Here begins the Knight's Tale.
	Iamque domos patrias, Sithice post	And now (Theseus drawing nigh his) native land in
	aspera gentis prelia,laurigero, etc.	laurelled car after battling with the Scithian folk, etc.
1815	And therfore, syn I knowe of loves peyne		And therefore, since I know of love's pain
1816	And woot hou soore it kan a man distreyne,		And know how sorely it can afflict a man,
1817	As he that hath ben caught ofte in his laas,		As one who has been often caught in its snare,
1818	I yow foryeve al hoolly this trespaas,		I wholly forgive you this trespass,
1819	At requeste of the queene, that kneleth heere,		At the request of the queen, who kneels here,
1820	And eek of Emelye, my suster deere.		And also of Emelye, my dear sister.
1821	And ye shul bothe anon unto me swere		And you must both immediately swear unto me
1822	That nevere mo ye shal my contree dere,		That you shall never more harm my country,
1823	Ne make werre upon me nyght ne day,		Nor make war upon me at any time,
1824	But been my freendes in all that ye may.		But be my friends in all that you can.
1825	I yow foryeve this trespas every deel."		I forgive you this trespass completely."
1826	And they hym sworen his axyng faire and weel,		And they fairly and well swore to him (to do) his request,
1827	And hym of lordshipe and of mercy preyde,		And prayed him to be their lord and to have mercy ,
1828	And he hem graunteth grace, and thus he seyde:		And he grants them his favor, and thus he said:
1829	"To speke of roial lynage and richesse,		"To speak of royal lineage and riches,
1830	Though that she were a queene or a princesse,		Though she were a queen or a princess,
1831	Ech of you bothe is worthy, doutelees,		Each of you both is worthy, doubtless,
1832	To wedden whan tyme is; but nathelees --		To wed when it is time; but none the less --
1833	I speke as for my suster Emelye,		I speak for my sister Emelye,
1834	For whom ye have this strif and jalousye --		For whom you have this strife and jealousy --
1835	Ye woot yourself she may nat wedden two		You know yourself she can not wed two
1836	Atones, though ye fighten everemo,		At once, though you were to fight for evermore,
1837	That oon of you, al be hym looth or lief,		That one of you, whether he likes it or not,
1838	He moot go pipen in an yvy leef;		He must go whistle in an ivy leaf;
1839	This is to seyn, she may nat now han bothe,		This is to say, she can not now have both,
1840	Al be ye never so jalouse ne so wrothe.		Although you be never so jealous nor so angry.
1841	And forthy I yow putte in this degree,		And therefore I put you in this situation,
1842	That ech of yow shal have his destynee		That each of you shall have his destiny
1843	As hym is shape, and herkneth in what wyse;		As is ordained for him, and listen in what way;
1844	Lo, heere youre ende of that I shal devyse.		Lo, hear what I shall arrange for your fate.
1845	My wyl is this, for plat conclusioun,		My will is this, for flat conclusion,
1846	Withouten any repplicacioun --		Without any arguing --
1847	If that you liketh, take it for the beste:		If this pleases you, take it for the best:
1848	That everich of you shal goon where hym leste		That each one of you shall go where he pleases
1849	Frely, withouten raunson or daunger,		Freely, without ransom or resistance,
1850	And this day fifty wykes, fer ne ner,		And fifty weeks from this day, more or less,
1851	Everich of you shal brynge an hundred knyghtes		Each one of you shall bring a hundred knights
1852	Armed for lystes up at alle rightes,		Armed up for the lists in all respects,
1853	Al redy to darreyne hire by bataille.		All ready to decide the right to her by battle.
1854	And this bihote I yow withouten faille,		And this I promise you without fail,
1855	Upon my trouthe, and as I am a knyght,		Upon my word, and as I am a knight,
1856	That wheither of yow bothe that hath myght --		That whichever of you both who has the power --
1857	This is to seyn, that wheither he or thow		This is to say, that whether he or thou
1858	May with his hundred, as I spak of now,		Can with his hundred, as I spoke of now,
1859	Sleen his contrarie, or out of lystes dryve,		Slay his opponent, or drive him out of the lists ,
1860	Thanne shal I yeve Emelya to wyve		Then I shall give Emelye as wife
1861	To whom that Fortune yeveth so fair a grace.		To whom Fortune gives so good a gift (to win the battle).
1862	The lystes shal I maken in this place,		I shall make the lists in this place,
1863	And God so wisly on my soule rewe		And as God may surely have pity on my soul
1864	As I shal evene juge been and trewe.		I shall be an impartial and true judge.
1865	Ye shul noon oother ende with me maken,		You shall make no other agreement with me,
1866	That oon of yow ne shal be deed or taken.		(Save this:) that one of you must be dead or taken.
1867	And if yow thynketh this is weel ysayd,		And if it seems to you that this is well said,
1868	Seyeth youre avys, and holdeth you apayd.		Say your opinion, and consider yourself satisfied.
1869	This is youre ende and youre conclusioun."		This is your (destined) end and your conclusion."
1870	Who looketh lightly now but Palamoun?		Who but Palamon looks happy now?
1871	Who spryngeth up for joye but Arcite?		Who springs up for joy but Arcite?
1872	Who kouthe telle, or who kouthe it endite,		Who could tell, or who could describe in writing,
1873	The joye that is maked in the place		The joy that is made in the place
1874	Whan Theseus hath doon so fair a grace?		When Theseus has behaved so graciously?
1875	But doun on knees wente every maner wight,		But down on knees went every sort of person,
1876	And thonked hym with al hir herte and myght,		And thanked him with all their heart and might,
1877	And namely the Thebans often sithe.		And especially the Thebans many times.
1878	And thus with good hope and with herte blithe		And thus with good hope and with happy heart
1879	They taken hir leve, and homward gonne they ride		They take their leave, and homeward did they ride
1880	To Thebes with his olde walles wyde.		To Thebes with his old wide walls.
	Explicit secunda pars	The second part ends
	Sequitur pars tercia	The third part follows
1881	I trowe men wolde deme it necligence		I suppose men would consider it negligence
1882	If I foryete to tellen the dispence		If I forget to tell the expenditure
1883	Of Theseus, that gooth so bisily		Of Theseus, who goes (about) so busily
1884	To maken up the lystes roially,		To build the lists royally,
1885	That swich a noble theatre as it was		That such a noble theatre as it was
1886	I dar wel seyen in this world ther nas.		I dare well say there was not (another such) in this world.
1887	The circuit a myle was aboute,		The circumference was a mile around,
1888	Walled of stoon, and dyched al withoute.		Walled with stone, and surrounded by a ditch.
1889	Round was the shap, in manere of compas,		Round was the shape, in the manner of a circle,
1890	Ful of degrees, the heighte of sixty pas,		Full of tiers of seats, the height of sixty paces,
1891	That whan a man was set on o degree,		That when a man was set on one tier of seats,
1892	He letted nat his felawe for to see.		He did not hinder his fellow from seeing.
1893	Estward ther stood a gate of marbul whit,		Eastward there stood a gate of white marble,
1894	Westward right swich another in the opposit.		Westward just such another on the opposite (side).
1895	And shortly to concluden, swich a place		And shortly to conclude, such a place
1896	Was noon in erthe, as in so litel space;		Was none in earth, (constructed) in so little time;
1897	For in the lond ther was no crafty man		For in the land there was no skilled man
1898	That geometrie or ars-metrike kan,		Who knows geometry or arithmetic,
1899	Ne portreyour, ne kervere of ymages,		Nor painter, nor carver of images,
1900	That Theseus ne yaf him mete and wages		That Theseus did not give him food and wages
1901	The theatre for to maken and devyse.		To make and devise the theatre.
1902	And for to doon his ryte and sacrifise,		And to do his rite and sacrifice,
1903	He estward hath, upon the gate above,		He has eastward, upon the gate above,
1904	In worshipe of Venus, goddesse of love,		In worship of Venus, goddess of love,
1905	Doon make an auter and an oratorie;		Had made an altar and a chapel;
1906	And on the gate westward, in memorie		And on the westward gate, in memory
1907	Of Mars, he maked hath right swich another,		Of Mars, he has made just such another,
1908	That coste largely of gold a fother.		That cost fully a cartload of gold.
1909	And northward, in a touret on the wal,		And northward, in a turret on the wall,
1910	Of alabastre whit and reed coral,		Of white alabaster and red coral,
1911	An oratorie, riche for to see,		A chapel, rich to look upon,
1912	In worshipe of Dyane of chastitee,		In worship of Diana of chastity,
1913	Hath Theseus doon wroght in noble wyse.		Has Theseus had made in noble style.
1914	But yet hadde I foryeten to devyse		But yet had I forgotten to describe
1915	The noble kervyng and the portreitures,		The noble sculpture and the portraits,
1916	The shap, the contenaunce, and the figures		The shape, the appearance, and the figures
1917	That weren in thise oratories thre.		That were in these three chapels.
1918	First in the temple of Venus maystow se		First in the temple of Venus canst thou see
1919	Wroght on the wal, ful pitous to biholde,		Wrought on the wall, full piteous to behold,
1920	The broken slepes, and the sikes colde,		The broken sleeps, and the cold sighs,
1921	The sacred teeris, and the waymentynge,		The sacred tears, and the lamenting,
1922	The firy strokes of the desirynge		The fiery strokes of the desiring
1923	That loves servantz in this lyf enduren;		That love's servants endure in this life;
